TechnicalName,ObservedEfficacy,Lower,Upper,PredictedEfficacy,Lower_Pred,Upper_Pred,Strains
BNT162b2,95.03,89.89,97.55,92.1826665,88.2264852,96.1388477,WT
mRNA-1273,94.08,89.13,96.78,95.4993873,92.856905,98.1418696,WT
rAd26-S+rAd5-S,91.55,85.37,95.12,87.3756715,81.6137033,93.1376398,WT
NVX-CoV2373,95.66,67.86,99.41,95.3223237,92.615612,98.0290354,WT
Ad26.COV2.S,67.34,59.01,73.97,72.1007182,61.7760619,82.4253745,WT
ChAdOx1 nCoV-19,61.84,40.68,75.46,74.5357606,66.5479751,82.5235461,WT
CoronaVac,50.4,35.75,61.71,48.3327667,35.7248113,60.940722,WT
Convalescent,89,65.58,97.6,83.2809866,76.7490878,89.8128855,WT
2CoronaVac+1ChAdOx1nCoV-19,93.2,92.9,93.6,96.5966475,91.2897309,101.9035641,Delta
2ChAdOx1nCoV-19+1BNT162b2,94.3,,,94.46,,,Delta
2CoronaVac+1BNT162b2,96.5,,,93.78,,,Delta
