ID,publication,type,platforms,TimeAfterBoosterDose2,TimeAfterBoosterDose,VE2,VE,S,NTD,RBD,,age,samplesize
1,1,effectiveness,2CoronaVac+1BNT162b2,14-30,30,64.3,0.636,90.44488368,14.78569204,23.23455282,,All,2471576
2,2,effectiveness,2CoronaVac+1ChAdOx1,90,90,93.2,0.932,47.75389151,12.0317217,9.612971698,,All,2019260
3,2,effectiveness,2CoronaVac+1BNT162b2,90,90,96.5,0.965,47.75389151,12.0317217,9.612971698,,All,1921340
4,3,effectiveness,2CoronaVac+1ChAdOx1,21,21,86,0.86,40.728555917481,24.443,10.828447339848,,All,598
5,3,effectiveness,2CoronaVac+1BNT162b2,45,45,98,0.98,40.728555917481,24.443,10.828447339848,,All,371
6,4,effectiveness,2CoronaVac+1BNT162b2,14-30,30,92.7,0.927,42.1900959,16.53398431,12.49422842,,All,2552
7,4,effectiveness,2CoronaVac+1BNT162b2,30-70,70,82.6,0.826,42.1900959,16.53398431,12.49422842,,All,2552
8,5,effectiveness,2CoronaVac+1BNT162b2,15-29,29,95,0.95,38.7245533859576,16.84531,4.59313114527074,,All,657010
9,5,effectiveness,2CoronaVac+1ChAdOx1,15-29,29,87.1,0.871,38.7245533859576,16.84531,4.59313114527074,,All,657010
10,6,effectiveness,2CoronaVac+1AerosolizedAd5-nCoV,14-90,90,95.4,0.954,0,0,0,,All,77
12,6,effectiveness,2CoronaVac+1Ad5-nCoV,14-90,90,87.32,0.8732,0,0,0,,All,182
15,6,effectiveness,3CoronaVac,14-90,90,61.4,0.614,0,0,0,,All,226
11,7,effectiveness,2CoronaVac+1AerosolizedAd5-nCoV,14-90,90,39.03,0.3903,40,11,17,,All,77
14,7,effectiveness,2CoronaVac+1Ad5-nCoV,14-90,90,33.44,0.3344,40,11,17,,All,182
17,7,effectiveness,3CoronaVac,14-90,90,9.87,0.0987,40,11,17,,All,226
13,8,effectiveness,2CoronaVac+1Ad5-nCoV,14-90,90,45.23,0.4523,14,7,3,,All,182
16,8,effectiveness,3CoronaVac,14-90,90,15.28,0.1528,14,7,3,,All,226
